2024-06-16 21:01:45.885 Event: Pod Created, Pod: custom-scheduler-controller-controller-manager-59d8775bbb-76g6m, Namespace: custom-scheduler-controller-system, Node: minikube-m02, Timestamp: 1718571705.8858652
2024-06-16 21:01:45.887 Event: Pod Created, Pod: pod-event-logger-7f4956676d-8gr9x, Namespace: default, Node: minikube-m02, Timestamp: 1718571705.8873725
2024-06-16 21:01:45.890 Event: Pod Created, Pod: prometheus-grafana-7576556869-jjlzz, Namespace: default, Node: minikube-m02, Timestamp: 1718571705.8908358
2024-06-16 21:01:45.892 Event: Pod Created, Pod: prometheus-kube-prometheus-operator-5c85b488c-wb6nm, Namespace: default, Node: minikube-m02, Timestamp: 1718571705.8924716
2024-06-16 21:01:45.894 Event: Pod Created, Pod: prometheus-kube-state-metrics-7df5fc485d-zwtcp, Namespace: default, Node: minikube-m02, Timestamp: 1718571705.8940337
2024-06-16 21:01:45.895 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-24rfj, Namespace: default, Node: minikube-m02, Timestamp: 1718571705.8957868
2024-06-16 21:01:45.898 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-5j84b, Namespace: default, Node: minikube, Timestamp: 1718571705.8988786
2024-06-16 21:01:45.900 Event: Pod Created, Pod: static-scheduler-6cd494b898-kn6mz, Namespace: default, Node: minikube, Timestamp: 1718571705.9004793
2024-06-16 21:01:45.902 Event: Pod Created, Pod: activator-5587f7d97d-qwp4z, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1718571705.9025903
2024-06-16 21:01:45.904 Event: Pod Created, Pod: autoscaler-c6b7fb6b8-z6jvs, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1718571705.9046059
2024-06-16 21:01:45.906 Event: Pod Created, Pod: controller-5d54b6456c-ghgl6, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1718571705.9066956
2024-06-16 21:01:45.908 Event: Pod Created, Pod: webhook-5c75d6f46d-fj7zw, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1718571705.908753
2024-06-16 21:01:45.911 Event: Pod Created, Pod: coredns-7db6d8ff4d-9mwbn, Namespace: kube-system, Node: minikube, Timestamp: 1718571705.9112403
2024-06-16 21:01:45.912 Event: Pod Created, Pod: etcd-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718571705.9125776
2024-06-16 21:01:45.914 Event: Pod Created, Pod: kindnet-ghhv4, Namespace: kube-system, Node: minikube-m02, Timestamp: 1718571705.9144788
2024-06-16 21:01:45.916 Event: Pod Created, Pod: kindnet-rqksh, Namespace: kube-system, Node: minikube, Timestamp: 1718571705.9164526
2024-06-16 21:01:45.918 Event: Pod Created, Pod: kube-apiserver-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718571705.9181023
2024-06-16 21:01:45.919 Event: Pod Created, Pod: kube-controller-manager-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718571705.9197547
2024-06-16 21:01:45.921 Event: Pod Created, Pod: kube-proxy-5g44q, Namespace: kube-system, Node: minikube-m02, Timestamp: 1718571705.9215293
2024-06-16 21:01:45.923 Event: Pod Created, Pod: kube-proxy-tz62m, Namespace: kube-system, Node: minikube, Timestamp: 1718571705.9232638
2024-06-16 21:01:45.924 Event: Pod Created, Pod: kube-scheduler-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718571705.9244928
2024-06-16 21:01:45.925 Event: Pod Created, Pod: storage-provisioner, Namespace: kube-system, Node: minikube, Timestamp: 1718571705.9259248
