2024-06-24 14:04:40.009 Event: Pod Created, Pod: custom-scheduler-controller-controller-manager-59d8775bbb-8xh8z, Namespace: custom-scheduler-controller-system, Node: minikube-m03, Timestamp: 1719237880.0096998
2024-06-24 14:04:40.012 Event: Pod Created, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m02, Timestamp: 1719237880.0125127
2024-06-24 14:04:40.013 Event: Pod Created, Pod: pod-event-logger-7f4956676d-s6pn7, Namespace: default, Node: minikube-m02, Timestamp: 1719237880.0138774
2024-06-24 14:04:40.017 Event: Pod Created, Pod: prometheus-grafana-7576556869-9nxnn, Namespace: default, Node: minikube-m03, Timestamp: 1719237880.0171318
2024-06-24 14:04:40.018 Event: Pod Created, Pod: prometheus-kube-prometheus-operator-57597676b7-bjdpd, Namespace: default, Node: minikube-m02, Timestamp: 1719237880.018741
2024-06-24 14:04:40.020 Event: Pod Created, Pod: prometheus-kube-state-metrics-7df5fc485d-fjdtg, Namespace: default, Node: minikube-m02, Timestamp: 1719237880.0203314
2024-06-24 14:04:40.023 Event: Pod Created, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m03, Timestamp: 1719237880.0230536
2024-06-24 14:04:40.024 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-88bf7, Namespace: default, Node: minikube-m02, Timestamp: 1719237880.0249166
2024-06-24 14:04:40.026 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-ggz8m, Namespace: default, Node: minikube, Timestamp: 1719237880.026711
2024-06-24 14:04:40.028 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-tcrz8, Namespace: default, Node: minikube-m03, Timestamp: 1719237880.028483
2024-06-24 14:04:40.029 Event: Pod Created, Pod: static-scheduler-6cd494b898-cbzr9, Namespace: default, Node: minikube, Timestamp: 1719237880.0297642
2024-06-24 14:04:40.031 Event: Pod Created, Pod: activator-5587f7d97d-ggsxs, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1719237880.0315664
2024-06-24 14:04:40.033 Event: Pod Created, Pod: autoscaler-c6b7fb6b8-42nn8, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1719237880.0335329
2024-06-24 14:04:40.035 Event: Pod Created, Pod: controller-5d54b6456c-7b7hw, Namespace: knative-serving, Node: minikube-m03, Timestamp: 1719237880.035513
2024-06-24 14:04:40.037 Event: Pod Created, Pod: webhook-5c75d6f46d-z47h9, Namespace: knative-serving, Node: minikube-m03, Timestamp: 1719237880.0374725
2024-06-24 14:04:40.039 Event: Pod Created, Pod: coredns-7db6d8ff4d-qks7w, Namespace: kube-system, Node: minikube, Timestamp: 1719237880.0392606
2024-06-24 14:04:40.040 Event: Pod Created, Pod: etcd-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1719237880.0405917
2024-06-24 14:04:40.042 Event: Pod Created, Pod: kindnet-65mwt, Namespace: kube-system, Node: minikube, Timestamp: 1719237880.0423687
2024-06-24 14:04:40.044 Event: Pod Created, Pod: kindnet-czfcr, Namespace: kube-system, Node: minikube-m02, Timestamp: 1719237880.04426
2024-06-24 14:04:40.046 Event: Pod Created, Pod: kindnet-tkd6q, Namespace: kube-system, Node: minikube-m03, Timestamp: 1719237880.0460873
2024-06-24 14:04:40.047 Event: Pod Created, Pod: kube-apiserver-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1719237880.0477052
2024-06-24 14:04:40.049 Event: Pod Created, Pod: kube-controller-manager-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1719237880.049503
2024-06-24 14:04:40.051 Event: Pod Created, Pod: kube-proxy-66njj, Namespace: kube-system, Node: minikube-m02, Timestamp: 1719237880.0511932
2024-06-24 14:04:40.052 Event: Pod Created, Pod: kube-proxy-89hls, Namespace: kube-system, Node: minikube-m03, Timestamp: 1719237880.0529892
2024-06-24 14:04:40.054 Event: Pod Created, Pod: kube-proxy-f44zl, Namespace: kube-system, Node: minikube, Timestamp: 1719237880.0547044
2024-06-24 14:04:40.055 Event: Pod Created, Pod: kube-scheduler-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1719237880.0559008
2024-06-24 14:04:40.057 Event: Pod Created, Pod: storage-provisioner, Namespace: kube-system, Node: minikube, Timestamp: 1719237880.0573397
2024-06-24 14:04:40.480 Event: Pod Scheduled, Pod: pod-event-logger-7f4956676d-s6pn7, Namespace: default, Node: minikube-m02, Timestamp: 1719237880.4801698
2024-06-24 14:04:48.518 Event: Pod Scheduled, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m02, Timestamp: 1719237888.5180533
2024-06-24 14:05:01.649 Event: Pod Scheduled, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m02, Timestamp: 1719237901.649738
2024-06-24 14:05:02.176 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m03, Timestamp: 1719237902.176826
2024-06-24 14:05:03.174 Event: Pod Scheduled, Pod: custom-scheduler-controller-controller-manager-59d8775bbb-8xh8z, Namespace: custom-scheduler-controller-system, Node: minikube-m03, Timestamp: 1719237903.1742475
2024-06-24 14:05:05.641 Event: Pod Scheduled, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m02, Timestamp: 1719237905.641763
2024-06-24 14:05:14.895 Event: Pod Scheduled, Pod: custom-scheduler-controller-controller-manager-59d8775bbb-8xh8z, Namespace: custom-scheduler-controller-system, Node: minikube-m03, Timestamp: 1719237914.8956907
2024-06-24 14:05:17.239 Event: Pod Scheduled, Pod: prometheus-grafana-7576556869-9nxnn, Namespace: default, Node: minikube-m03, Timestamp: 1719237917.2394433
2024-06-24 14:05:30.922 Event: Pod Scheduled, Pod: prometheus-grafana-7576556869-9nxnn, Namespace: default, Node: minikube-m03, Timestamp: 1719237930.922877
2024-06-24 14:05:37.319 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m03, Timestamp: 1719237937.3190854
2024-06-24 14:05:50.742 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m03, Timestamp: 1719237950.74215
2024-06-24 14:05:51.379 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m03, Timestamp: 1719237951.3794222
2024-06-24 14:06:32.246 Event: Pod Created, Pod: hello-1-instances-00001-deployment-89f4f9d9f-jnm4w, Namespace: default, Node: None, Timestamp: 1719237992.2468271
2024-06-24 14:06:32.665 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-89f4f9d9f-jnm4w, Namespace: default, Node: minikube-m03, Timestamp: 1719237992.6650393
2024-06-24 14:06:32.675 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-89f4f9d9f-jnm4w, Namespace: default, Node: minikube-m03, Timestamp: 1719237992.675393
2024-06-24 14:06:42.607 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-89f4f9d9f-jnm4w, Namespace: default, Node: minikube-m03, Timestamp: 1719238002.607281
2024-06-24 14:06:42.620 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-89f4f9d9f-jnm4w, Namespace: default, Node: minikube-m03, Timestamp: 1719238002.6209517
2024-06-24 14:06:52.002 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-89f4f9d9f-jnm4w, Namespace: default, Node: minikube-m03, Timestamp: 1719238012.0022318
2024-06-24 14:07:12.985 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-89f4f9d9f-jnm4w, Namespace: default, Node: minikube-m03, Timestamp: 1719238032.985887
2024-06-24 14:07:22.212 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-89f4f9d9f-jnm4w, Namespace: default, Node: minikube-m03, Timestamp: 1719238042.2125344
2024-06-24 14:07:22.776 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-89f4f9d9f-jnm4w, Namespace: default, Node: minikube-m03, Timestamp: 1719238042.7767916
2024-06-24 14:07:22.790 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-89f4f9d9f-jnm4w, Namespace: default, Node: minikube-m03, Timestamp: 1719238042.7909074
2024-06-24 14:07:33.052 Event: Pod Created, Pod: hello-1-instances-00001-deployment-c65866f75-7s2cd, Namespace: default, Node: None, Timestamp: 1719238053.052431
2024-06-24 14:07:33.064 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c65866f75-7s2cd, Namespace: default, Node: minikube-m03, Timestamp: 1719238053.0641394
2024-06-24 14:07:33.090 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c65866f75-7s2cd, Namespace: default, Node: minikube-m03, Timestamp: 1719238053.0901587
2024-06-24 14:07:34.852 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c65866f75-7s2cd, Namespace: default, Node: minikube-m03, Timestamp: 1719238054.8522131
2024-06-24 14:07:34.862 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c65866f75-7s2cd, Namespace: default, Node: minikube-m03, Timestamp: 1719238054.8619776
2024-06-24 14:07:42.786 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c65866f75-7s2cd, Namespace: default, Node: minikube-m03, Timestamp: 1719238062.7868798
2024-06-24 14:08:03.382 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c65866f75-7s2cd, Namespace: default, Node: minikube-m03, Timestamp: 1719238083.3826957
2024-06-24 14:08:13.013 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c65866f75-7s2cd, Namespace: default, Node: minikube-m03, Timestamp: 1719238093.0132065
2024-06-24 14:08:13.023 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c65866f75-7s2cd, Namespace: default, Node: minikube-m03, Timestamp: 1719238093.0232627
2024-06-24 14:08:13.337 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c65866f75-7s2cd, Namespace: default, Node: minikube-m03, Timestamp: 1719238093.3379633
2024-06-24 14:08:23.772 Event: Pod Created, Pod: hello-1-instances-00001-deployment-7c4f4f8c6-8b4fk, Namespace: default, Node: None, Timestamp: 1719238103.7725036
2024-06-24 14:08:23.784 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7c4f4f8c6-8b4fk, Namespace: default, Node: minikube-m03, Timestamp: 1719238103.7846987
