2024-06-16 22:58:48.340 Event: Pod Created, Pod: custom-scheduler-controller-controller-manager-59d8775bbb-xljrq, Namespace: custom-scheduler-controller-system, Node: minikube-m04, Timestamp: 1718578728.3404295
2024-06-16 22:58:48.344 Event: Pod Created, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m02, Timestamp: 1718578728.3440197
2024-06-16 22:58:48.345 Event: Pod Created, Pod: pod-event-logger-7f4956676d-59j62, Namespace: default, Node: minikube-m02, Timestamp: 1718578728.3454185
2024-06-16 22:58:48.348 Event: Pod Created, Pod: prometheus-grafana-7576556869-vb4v7, Namespace: default, Node: minikube-m04, Timestamp: 1718578728.348679
2024-06-16 22:58:48.350 Event: Pod Created, Pod: prometheus-kube-prometheus-operator-7d9dfcbd5-fmjdl, Namespace: default, Node: minikube-m02, Timestamp: 1718578728.3504024
2024-06-16 22:58:48.351 Event: Pod Created, Pod: prometheus-kube-state-metrics-7df5fc485d-mdd2n, Namespace: default, Node: minikube-m03, Timestamp: 1718578728.3519342
2024-06-16 22:58:48.354 Event: Pod Created, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m03, Timestamp: 1718578728.3547523
2024-06-16 22:58:48.356 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-2qlm7, Namespace: default, Node: minikube-m03, Timestamp: 1718578728.356537
2024-06-16 22:58:48.358 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-5rbhg, Namespace: default, Node: minikube-m02, Timestamp: 1718578728.358249
2024-06-16 22:58:48.360 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-7bbpd, Namespace: default, Node: minikube, Timestamp: 1718578728.3604722
2024-06-16 22:58:48.362 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-wq5f9, Namespace: default, Node: minikube-m04, Timestamp: 1718578728.3625526
2024-06-16 22:58:48.363 Event: Pod Created, Pod: static-scheduler-6cd494b898-phjfm, Namespace: default, Node: minikube, Timestamp: 1718578728.3639157
2024-06-16 22:58:48.365 Event: Pod Created, Pod: activator-5587f7d97d-ln6b9, Namespace: knative-serving, Node: minikube-m03, Timestamp: 1718578728.365788
2024-06-16 22:58:48.367 Event: Pod Created, Pod: autoscaler-c6b7fb6b8-sv526, Namespace: knative-serving, Node: minikube-m04, Timestamp: 1718578728.3677468
2024-06-16 22:58:48.369 Event: Pod Created, Pod: controller-5d54b6456c-kvwjz, Namespace: knative-serving, Node: minikube-m03, Timestamp: 1718578728.3695636
2024-06-16 22:58:48.371 Event: Pod Created, Pod: webhook-5c75d6f46d-rc9bw, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1718578728.3713717
2024-06-16 22:58:48.373 Event: Pod Created, Pod: coredns-7db6d8ff4d-92tsk, Namespace: kube-system, Node: minikube, Timestamp: 1718578728.3731935
2024-06-16 22:58:48.374 Event: Pod Created, Pod: etcd-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718578728.374572
