2024-06-16 23:34:46.283 Event: Pod Created, Pod: custom-scheduler-controller-controller-manager-59d8775bbb-d26qj, Namespace: custom-scheduler-controller-system, Node: minikube-m02, Timestamp: 1718580886.2835462
2024-06-16 23:34:46.287 Event: Pod Created, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m02, Timestamp: 1718580886.287079
2024-06-16 23:34:46.288 Event: Pod Created, Pod: pod-event-logger-7f4956676d-js2qs, Namespace: default, Node: minikube-m04, Timestamp: 1718580886.288449
2024-06-16 23:34:46.291 Event: Pod Created, Pod: prometheus-grafana-7576556869-2db7f, Namespace: default, Node: minikube-m03, Timestamp: 1718580886.291634
2024-06-16 23:34:46.293 Event: Pod Created, Pod: prometheus-kube-prometheus-operator-7d9dfcbd5-jxfgn, Namespace: default, Node: minikube-m05, Timestamp: 1718580886.2932756
2024-06-16 23:34:46.294 Event: Pod Created, Pod: prometheus-kube-state-metrics-7df5fc485d-nffh9, Namespace: default, Node: minikube-m03, Timestamp: 1718580886.2948942
2024-06-16 23:34:46.297 Event: Pod Created, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m05, Timestamp: 1718580886.2978535
2024-06-16 23:34:46.299 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-8mf4p, Namespace: default, Node: minikube-m02, Timestamp: 1718580886.2996998
2024-06-16 23:34:46.301 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-brbpp, Namespace: default, Node: minikube-m04, Timestamp: 1718580886.3015013
2024-06-16 23:34:46.303 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-f4wfv, Namespace: default, Node: minikube, Timestamp: 1718580886.3033876
2024-06-16 23:34:46.305 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-hpt5l, Namespace: default, Node: minikube-m03, Timestamp: 1718580886.3052192
2024-06-16 23:34:46.307 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-rrpk5, Namespace: default, Node: minikube-m05, Timestamp: 1718580886.307086
2024-06-16 23:34:46.308 Event: Pod Created, Pod: static-scheduler-6cd494b898-wl269, Namespace: default, Node: minikube, Timestamp: 1718580886.3084834
2024-06-16 23:34:46.310 Event: Pod Created, Pod: activator-5587f7d97d-xvbvz, Namespace: knative-serving, Node: minikube-m04, Timestamp: 1718580886.3104901
2024-06-16 23:34:46.312 Event: Pod Created, Pod: autoscaler-c6b7fb6b8-6bkts, Namespace: knative-serving, Node: minikube-m04, Timestamp: 1718580886.3125281
2024-06-16 23:34:46.314 Event: Pod Created, Pod: controller-5d54b6456c-gk48h, Namespace: knative-serving, Node: minikube-m05, Timestamp: 1718580886.3145647
2024-06-16 23:34:46.316 Event: Pod Created, Pod: webhook-5c75d6f46d-khgxl, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1718580886.3164845
2024-06-16 23:34:46.318 Event: Pod Created, Pod: coredns-7db6d8ff4d-gw2m2, Namespace: kube-system, Node: minikube, Timestamp: 1718580886.3185081
2024-06-16 23:34:46.319 Event: Pod Created, Pod: etcd-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718580886.319893
2024-06-16 23:34:46.321 Event: Pod Created, Pod: kindnet-7rj96, Namespace: kube-system, Node: minikube, Timestamp: 1718580886.3218539
2024-06-16 23:34:46.324 Event: Pod Created, Pod: kindnet-dg4bs, Namespace: kube-system, Node: minikube-m02, Timestamp: 1718580886.3239908
2024-06-16 23:34:46.325 Event: Pod Created, Pod: kindnet-fmgf8, Namespace: kube-system, Node: minikube-m03, Timestamp: 1718580886.3259149
2024-06-16 23:34:46.328 Event: Pod Created, Pod: kindnet-jrfjn, Namespace: kube-system, Node: minikube-m04, Timestamp: 1718580886.3280013
2024-06-16 23:34:46.329 Event: Pod Created, Pod: kindnet-r44zj, Namespace: kube-system, Node: minikube-m05, Timestamp: 1718580886.3298862
2024-06-16 23:34:46.331 Event: Pod Created, Pod: kube-apiserver-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718580886.3315046
2024-06-16 23:34:46.333 Event: Pod Created, Pod: kube-controller-manager-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718580886.333112
2024-06-16 23:34:46.335 Event: Pod Created, Pod: kube-proxy-52vqm, Namespace: kube-system, Node: minikube-m03, Timestamp: 1718580886.3349977
2024-06-16 23:34:46.336 Event: Pod Created, Pod: kube-proxy-hcsch, Namespace: kube-system, Node: minikube-m02, Timestamp: 1718580886.3367443
2024-06-16 23:34:46.338 Event: Pod Created, Pod: kube-proxy-hgbf8, Namespace: kube-system, Node: minikube-m05, Timestamp: 1718580886.3384848
2024-06-16 23:34:46.340 Event: Pod Created, Pod: kube-proxy-q9s5x, Namespace: kube-system, Node: minikube-m04, Timestamp: 1718580886.3402638
2024-06-16 23:34:46.342 Event: Pod Created, Pod: kube-proxy-qt987, Namespace: kube-system, Node: minikube, Timestamp: 1718580886.3420784
2024-06-16 23:34:46.343 Event: Pod Created, Pod: kube-scheduler-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718580886.3433685
2024-06-16 23:34:46.344 Event: Pod Created, Pod: storage-provisioner, Namespace: kube-system, Node: minikube, Timestamp: 1718580886.3448808
2024-06-16 23:34:46.668 Event: Pod Scheduled, Pod: pod-event-logger-7f4956676d-js2qs, Namespace: default, Node: minikube-m04, Timestamp: 1718580886.6689231
2024-06-16 23:34:55.233 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m05, Timestamp: 1718580895.2334957
2024-06-16 23:34:55.651 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m05, Timestamp: 1718580895.6510265
2024-06-16 23:34:56.134 Event: Pod Scheduled, Pod: prometheus-grafana-7576556869-2db7f, Namespace: default, Node: minikube-m03, Timestamp: 1718580896.1346729
2024-06-16 23:36:18.140 Event: Pod Created, Pod: hello-1-instances-00001-deployment-557d54b4b7-h8ml5, Namespace: default, Node: None, Timestamp: 1718580978.1399815
2024-06-16 23:36:18.563 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-557d54b4b7-h8ml5, Namespace: default, Node: minikube-m02, Timestamp: 1718580978.563521
2024-06-16 23:36:18.573 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-557d54b4b7-h8ml5, Namespace: default, Node: minikube-m02, Timestamp: 1718580978.5733643
2024-06-16 23:36:26.323 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-557d54b4b7-h8ml5, Namespace: default, Node: minikube-m02, Timestamp: 1718580986.3233774
2024-06-16 23:36:26.338 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-557d54b4b7-h8ml5, Namespace: default, Node: minikube-m02, Timestamp: 1718580986.338365
2024-06-16 23:36:27.776 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-557d54b4b7-h8ml5, Namespace: default, Node: minikube-m02, Timestamp: 1718580987.7766225
2024-06-16 23:36:58.888 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-557d54b4b7-h8ml5, Namespace: default, Node: minikube-m02, Timestamp: 1718581018.888969
2024-06-16 23:36:59.596 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-557d54b4b7-h8ml5, Namespace: default, Node: minikube-m02, Timestamp: 1718581019.5967667
2024-06-16 23:37:00.498 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-557d54b4b7-h8ml5, Namespace: default, Node: minikube-m02, Timestamp: 1718581020.4979942
2024-06-16 23:37:08.722 Event: Pod Created, Pod: hello-1-instances-00001-deployment-568c7d8f74-8f6vd, Namespace: default, Node: None, Timestamp: 1718581028.722344
2024-06-16 23:37:08.736 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-568c7d8f74-8f6vd, Namespace: default, Node: minikube-m02, Timestamp: 1718581028.73692
2024-06-16 23:37:08.752 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-568c7d8f74-8f6vd, Namespace: default, Node: minikube-m02, Timestamp: 1718581028.752888
2024-06-16 23:37:10.589 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-568c7d8f74-8f6vd, Namespace: default, Node: minikube-m02, Timestamp: 1718581030.5898693
2024-06-16 23:37:10.603 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-568c7d8f74-8f6vd, Namespace: default, Node: minikube-m02, Timestamp: 1718581030.603561
2024-06-16 23:37:18.581 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-568c7d8f74-8f6vd, Namespace: default, Node: minikube-m02, Timestamp: 1718581038.5811434
2024-06-16 23:37:39.049 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-568c7d8f74-8f6vd, Namespace: default, Node: minikube-m02, Timestamp: 1718581059.0492282
2024-06-16 23:37:48.821 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-568c7d8f74-8f6vd, Namespace: default, Node: minikube-m02, Timestamp: 1718581068.8213274
2024-06-16 23:37:49.780 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-568c7d8f74-8f6vd, Namespace: default, Node: minikube-m02, Timestamp: 1718581069.7806978
2024-06-16 23:37:59.715 Event: Pod Created, Pod: hello-1-instances-00001-deployment-688dd8d89-jqwzk, Namespace: default, Node: None, Timestamp: 1718581079.7150395
2024-06-16 23:37:59.729 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-688dd8d89-jqwzk, Namespace: default, Node: minikube-m02, Timestamp: 1718581079.729671
2024-06-16 23:37:59.752 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-688dd8d89-jqwzk, Namespace: default, Node: minikube-m02, Timestamp: 1718581079.752197
2024-06-16 23:38:00.816 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-688dd8d89-jqwzk, Namespace: default, Node: minikube-m02, Timestamp: 1718581080.81604
2024-06-16 23:38:00.838 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-688dd8d89-jqwzk, Namespace: default, Node: minikube-m02, Timestamp: 1718581080.8387458
2024-06-16 23:38:09.407 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-688dd8d89-jqwzk, Namespace: default, Node: minikube-m02, Timestamp: 1718581089.407731
2024-06-16 23:38:30.044 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-688dd8d89-jqwzk, Namespace: default, Node: minikube-m02, Timestamp: 1718581110.044558
2024-06-16 23:38:39.656 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-688dd8d89-jqwzk, Namespace: default, Node: minikube-m02, Timestamp: 1718581119.6566916
2024-06-16 23:38:39.958 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-688dd8d89-jqwzk, Namespace: default, Node: minikube-m02, Timestamp: 1718581119.9583495
2024-06-16 23:38:39.969 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-688dd8d89-jqwzk, Namespace: default, Node: minikube-m02, Timestamp: 1718581119.9690623
2024-06-16 23:38:50.399 Event: Pod Created, Pod: hello-1-instances-00001-deployment-6649b47556-nj8qd, Namespace: default, Node: None, Timestamp: 1718581130.3992233
2024-06-16 23:38:50.413 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6649b47556-nj8qd, Namespace: default, Node: minikube-m02, Timestamp: 1718581130.413867
2024-06-16 23:38:50.439 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6649b47556-nj8qd, Namespace: default, Node: minikube-m02, Timestamp: 1718581130.439864
2024-06-16 23:38:52.006 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6649b47556-nj8qd, Namespace: default, Node: minikube-m02, Timestamp: 1718581132.0062492
2024-06-16 23:38:52.023 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6649b47556-nj8qd, Namespace: default, Node: minikube-m02, Timestamp: 1718581132.023104
2024-06-16 23:39:00.200 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6649b47556-nj8qd, Namespace: default, Node: minikube-m02, Timestamp: 1718581140.2000535
2024-06-16 23:39:20.741 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6649b47556-nj8qd, Namespace: default, Node: minikube-m02, Timestamp: 1718581160.7414782
2024-06-16 23:39:30.441 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6649b47556-nj8qd, Namespace: default, Node: minikube-m02, Timestamp: 1718581170.441202
2024-06-16 23:39:31.139 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6649b47556-nj8qd, Namespace: default, Node: minikube-m02, Timestamp: 1718581171.139614
2024-06-16 23:39:31.151 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6649b47556-nj8qd, Namespace: default, Node: minikube-m02, Timestamp: 1718581171.1510155
2024-06-16 23:39:41.306 Event: Pod Created, Pod: hello-1-instances-00001-deployment-7b4dfbd6cd-78kw5, Namespace: default, Node: None, Timestamp: 1718581181.3064902
2024-06-16 23:39:41.324 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7b4dfbd6cd-78kw5, Namespace: default, Node: minikube-m02, Timestamp: 1718581181.3243084
2024-06-16 23:39:41.347 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7b4dfbd6cd-78kw5, Namespace: default, Node: minikube-m02, Timestamp: 1718581181.3477924
