2024-06-17 07:51:36.459 Event: Pod Created, Pod: custom-scheduler-controller-controller-manager-59d8775bbb-9jndb, Namespace: custom-scheduler-controller-system, Node: minikube-m05, Timestamp: 1718610696.458984
2024-06-17 07:51:36.463 Event: Pod Created, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m02, Timestamp: 1718610696.4631698
2024-06-17 07:51:36.464 Event: Pod Created, Pod: pod-event-logger-7f4956676d-qf666, Namespace: default, Node: minikube-m05, Timestamp: 1718610696.4648046
2024-06-17 07:51:36.468 Event: Pod Created, Pod: prometheus-grafana-7576556869-s6ng2, Namespace: default, Node: minikube-m06, Timestamp: 1718610696.468143
2024-06-17 07:51:36.469 Event: Pod Created, Pod: prometheus-kube-prometheus-operator-7d9dfcbd5-x7hc6, Namespace: default, Node: minikube-m02, Timestamp: 1718610696.4698772
2024-06-17 07:51:36.471 Event: Pod Created, Pod: prometheus-kube-state-metrics-7df5fc485d-wqfvq, Namespace: default, Node: minikube-m06, Timestamp: 1718610696.4715781
2024-06-17 07:51:36.474 Event: Pod Created, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m04, Timestamp: 1718610696.4744503
2024-06-17 07:51:36.476 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-2z4gh, Namespace: default, Node: minikube-m05, Timestamp: 1718610696.4762552
2024-06-17 07:51:36.477 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-4v2jd, Namespace: default, Node: minikube, Timestamp: 1718610696.4779577
2024-06-17 07:51:36.479 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-mg4pp, Namespace: default, Node: minikube-m04, Timestamp: 1718610696.4796298
2024-06-17 07:51:36.481 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-nfft9, Namespace: default, Node: minikube-m03, Timestamp: 1718610696.4814084
2024-06-17 07:51:36.483 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-nqbbh, Namespace: default, Node: minikube-m06, Timestamp: 1718610696.4833043
2024-06-17 07:51:36.485 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-rpmsx, Namespace: default, Node: minikube-m02, Timestamp: 1718610696.4854338
2024-06-17 07:51:36.487 Event: Pod Created, Pod: static-scheduler-6cd494b898-g6nwn, Namespace: default, Node: minikube, Timestamp: 1718610696.487129
2024-06-17 07:51:36.489 Event: Pod Created, Pod: activator-5587f7d97d-cl5vp, Namespace: knative-serving, Node: minikube-m05, Timestamp: 1718610696.4893324
2024-06-17 07:51:36.491 Event: Pod Created, Pod: autoscaler-c6b7fb6b8-c965j, Namespace: knative-serving, Node: minikube-m04, Timestamp: 1718610696.491578
2024-06-17 07:51:36.493 Event: Pod Created, Pod: controller-5d54b6456c-28xdx, Namespace: knative-serving, Node: minikube-m03, Timestamp: 1718610696.4936588
2024-06-17 07:51:36.495 Event: Pod Created, Pod: webhook-5c75d6f46d-84xp6, Namespace: knative-serving, Node: minikube-m03, Timestamp: 1718610696.4958248
2024-06-17 07:51:36.497 Event: Pod Created, Pod: coredns-7db6d8ff4d-t4msp, Namespace: kube-system, Node: minikube, Timestamp: 1718610696.497903
2024-06-17 07:51:36.499 Event: Pod Created, Pod: etcd-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718610696.4993615
2024-06-17 07:51:36.501 Event: Pod Created, Pod: kindnet-75lv9, Namespace: kube-system, Node: minikube, Timestamp: 1718610696.5013607
2024-06-17 07:51:36.503 Event: Pod Created, Pod: kindnet-h2gsq, Namespace: kube-system, Node: minikube-m06, Timestamp: 1718610696.503775
2024-06-17 07:51:36.505 Event: Pod Created, Pod: kindnet-kbg2x, Namespace: kube-system, Node: minikube-m03, Timestamp: 1718610696.5058527
2024-06-17 07:51:36.507 Event: Pod Created, Pod: kindnet-pk4t5, Namespace: kube-system, Node: minikube-m05, Timestamp: 1718610696.5078847
2024-06-17 07:51:36.509 Event: Pod Created, Pod: kindnet-tjg2b, Namespace: kube-system, Node: minikube-m02, Timestamp: 1718610696.5098596
2024-06-17 07:51:36.511 Event: Pod Created, Pod: kindnet-wm2mp, Namespace: kube-system, Node: minikube-m04, Timestamp: 1718610696.5119133
2024-06-17 07:51:36.513 Event: Pod Created, Pod: kube-apiserver-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718610696.513648
2024-06-17 07:51:36.515 Event: Pod Created, Pod: kube-controller-manager-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718610696.515427
2024-06-17 07:51:36.517 Event: Pod Created, Pod: kube-proxy-4xctz, Namespace: kube-system, Node: minikube-m05, Timestamp: 1718610696.5173159
2024-06-17 07:51:36.519 Event: Pod Created, Pod: kube-proxy-5mwhq, Namespace: kube-system, Node: minikube-m03, Timestamp: 1718610696.5193284
2024-06-17 07:51:36.521 Event: Pod Created, Pod: kube-proxy-82b4j, Namespace: kube-system, Node: minikube-m04, Timestamp: 1718610696.5212162
2024-06-17 07:51:36.523 Event: Pod Created, Pod: kube-proxy-bzl7b, Namespace: kube-system, Node: minikube, Timestamp: 1718610696.5230796
2024-06-17 07:51:36.524 Event: Pod Created, Pod: kube-proxy-vrgb8, Namespace: kube-system, Node: minikube-m06, Timestamp: 1718610696.5249684
2024-06-17 07:51:36.527 Event: Pod Created, Pod: kube-proxy-zhh4z, Namespace: kube-system, Node: minikube-m02, Timestamp: 1718610696.526992
2024-06-17 07:51:36.529 Event: Pod Created, Pod: kube-scheduler-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718610696.5296476
2024-06-17 07:51:36.532 Event: Pod Created, Pod: storage-provisioner, Namespace: kube-system, Node: minikube, Timestamp: 1718610696.5320213
2024-06-17 07:51:36.791 Event: Pod Scheduled, Pod: pod-event-logger-7f4956676d-qf666, Namespace: default, Node: minikube-m05, Timestamp: 1718610696.7918944
2024-06-17 07:51:38.833 Event: Pod Scheduled, Pod: prometheus-grafana-7576556869-s6ng2, Namespace: default, Node: minikube-m06, Timestamp: 1718610698.833088
2024-06-17 07:51:43.946 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m04, Timestamp: 1718610703.9463193
2024-06-17 07:51:50.214 Event: Pod Scheduled, Pod: prometheus-grafana-7576556869-s6ng2, Namespace: default, Node: minikube-m06, Timestamp: 1718610710.2144935
2024-06-17 07:51:55.336 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m04, Timestamp: 1718610715.3366563
2024-06-17 07:51:55.982 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m04, Timestamp: 1718610715.9824858
2024-06-17 07:52:14.411 Event: Pod Created, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: None, Timestamp: 1718610734.41138
2024-06-17 07:52:14.827 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718610734.8275456
2024-06-17 07:52:14.840 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718610734.840624
2024-06-17 07:53:00.111 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718610780.111449
2024-06-17 07:53:00.125 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718610780.1251335
2024-06-17 07:53:04.448 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718610784.448334
2024-06-17 07:53:25.144 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718610805.1447885
