2024-06-15 12:05:45.768 Event: Pod Created, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m02, Timestamp: 1718453145.7685564
2024-06-15 12:05:45.770 Event: Pod Created, Pod: pod-event-logger-7f4956676d-tgmtk, Namespace: default, Node: minikube-m04, Timestamp: 1718453145.7701354
2024-06-15 12:05:45.773 Event: Pod Created, Pod: prometheus-grafana-7576556869-xvjjg, Namespace: default, Node: minikube-m03, Timestamp: 1718453145.773723
2024-06-15 12:05:45.775 Event: Pod Created, Pod: prometheus-kube-prometheus-operator-5c85b488c-b7mvb, Namespace: default, Node: minikube-m02, Timestamp: 1718453145.7753305
2024-06-15 12:05:45.776 Event: Pod Created, Pod: prometheus-kube-state-metrics-7df5fc485d-2ckqr, Namespace: default, Node: minikube-m03, Timestamp: 1718453145.7768884
2024-06-15 12:05:45.779 Event: Pod Created, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m04, Timestamp: 1718453145.7796135
2024-06-15 12:05:45.781 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-889q7, Namespace: default, Node: minikube-m02, Timestamp: 1718453145.7814205
2024-06-15 12:05:45.783 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-fjt72, Namespace: default, Node: minikube-m04, Timestamp: 1718453145.7830877
2024-06-15 12:05:45.784 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-ns8r5, Namespace: default, Node: minikube, Timestamp: 1718453145.7847333
2024-06-15 12:05:45.786 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-pzgn7, Namespace: default, Node: minikube-m03, Timestamp: 1718453145.7864854
2024-06-15 12:05:45.788 Event: Pod Created, Pod: activator-5886599f75-f5cdg, Namespace: knative-serving, Node: minikube-m04, Timestamp: 1718453145.7885258
2024-06-15 12:05:45.790 Event: Pod Created, Pod: autoscaler-6c785b5655-v7hkn, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1718453145.7905002
2024-06-15 12:05:45.792 Event: Pod Created, Pod: controller-6dd9b8448-fcql6, Namespace: knative-serving, Node: minikube-m04, Timestamp: 1718453145.7925055
2024-06-15 12:05:45.794 Event: Pod Created, Pod: webhook-7dbc5d48d7-7rs56, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1718453145.794427
2024-06-15 12:05:45.796 Event: Pod Created, Pod: coredns-7db6d8ff4d-dlfgm, Namespace: kube-system, Node: minikube, Timestamp: 1718453145.7963471
2024-06-15 12:05:45.797 Event: Pod Created, Pod: etcd-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718453145.7977464
2024-06-15 12:05:45.799 Event: Pod Created, Pod: kindnet-6q2zw, Namespace: kube-system, Node: minikube, Timestamp: 1718453145.7996757
2024-06-15 12:05:45.801 Event: Pod Created, Pod: kindnet-7wvr5, Namespace: kube-system, Node: minikube-m04, Timestamp: 1718453145.8016102
2024-06-15 12:05:45.804 Event: Pod Created, Pod: kindnet-gn9gc, Namespace: kube-system, Node: minikube-m03, Timestamp: 1718453145.8042967
2024-06-15 12:05:45.806 Event: Pod Created, Pod: kindnet-kkwwk, Namespace: kube-system, Node: minikube-m02, Timestamp: 1718453145.8062935
2024-06-15 12:05:45.807 Event: Pod Created, Pod: kube-apiserver-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718453145.8079102
2024-06-15 12:05:45.809 Event: Pod Created, Pod: kube-controller-manager-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718453145.809656
2024-06-15 12:05:45.811 Event: Pod Created, Pod: kube-proxy-djjxb, Namespace: kube-system, Node: minikube-m02, Timestamp: 1718453145.811511
2024-06-15 12:05:45.813 Event: Pod Created, Pod: kube-proxy-hxfv9, Namespace: kube-system, Node: minikube-m04, Timestamp: 1718453145.8133113
2024-06-15 12:05:45.815 Event: Pod Created, Pod: kube-proxy-mk4lm, Namespace: kube-system, Node: minikube, Timestamp: 1718453145.8151782
2024-06-15 12:05:45.817 Event: Pod Created, Pod: kube-proxy-t6fv4, Namespace: kube-system, Node: minikube-m03, Timestamp: 1718453145.817037
2024-06-15 12:05:45.818 Event: Pod Created, Pod: kube-scheduler-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718453145.8183713
2024-06-15 12:05:45.819 Event: Pod Created, Pod: storage-provisioner, Namespace: kube-system, Node: minikube, Timestamp: 1718453145.8199763
2024-06-15 12:06:29.267 Event: Pod Created, Pod: hello-1-instances-00001-deployment-686c47c5b6-s79lq, Namespace: default, Node: None, Timestamp: 1718453189.2679682
2024-06-15 12:06:29.275 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-686c47c5b6-s79lq, Namespace: default, Node: minikube-m02, Timestamp: 1718453189.2758427
2024-06-15 12:06:29.298 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-686c47c5b6-s79lq, Namespace: default, Node: minikube-m02, Timestamp: 1718453189.298336
2024-06-15 12:06:37.183 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-686c47c5b6-s79lq, Namespace: default, Node: minikube-m02, Timestamp: 1718453197.1837702
2024-06-15 12:06:37.198 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-686c47c5b6-s79lq, Namespace: default, Node: minikube-m02, Timestamp: 1718453197.198271
2024-06-15 12:06:55.852 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-686c47c5b6-s79lq, Namespace: default, Node: minikube-m02, Timestamp: 1718453215.852285
