2024-06-15 11:21:44.880 Event: Pod Created, Pod: custom-scheduler-controller-controller-manager-59d8775bbb-4qh74, Namespace: custom-scheduler-controller-system, Node: minikube-m02, Timestamp: 1718450504.8808599
2024-06-15 11:21:44.884 Event: Pod Created, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m03, Timestamp: 1718450504.884266
2024-06-15 11:21:44.885 Event: Pod Created, Pod: pod-event-logger-7f4956676d-2scjh, Namespace: default, Node: minikube-m03, Timestamp: 1718450504.8857112
2024-06-15 11:21:44.888 Event: Pod Created, Pod: prometheus-grafana-7576556869-4vpwn, Namespace: default, Node: minikube-m02, Timestamp: 1718450504.8887627
2024-06-15 11:21:44.890 Event: Pod Created, Pod: prometheus-kube-prometheus-operator-5c85b488c-x4jvm, Namespace: default, Node: minikube-m04, Timestamp: 1718450504.890416
2024-06-15 11:21:44.891 Event: Pod Created, Pod: prometheus-kube-state-metrics-7df5fc485d-wmrm9, Namespace: default, Node: minikube-m04, Timestamp: 1718450504.8919597
2024-06-15 11:21:44.894 Event: Pod Created, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m04, Timestamp: 1718450504.8946502
2024-06-15 11:21:44.896 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-bp89r, Namespace: default, Node: minikube-m02, Timestamp: 1718450504.8963208
2024-06-15 11:21:44.898 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-gg42d, Namespace: default, Node: minikube-m04, Timestamp: 1718450504.8980098
2024-06-15 11:21:44.899 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-k7zf8, Namespace: default, Node: minikube, Timestamp: 1718450504.8996606
2024-06-15 11:21:44.901 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-wtk4q, Namespace: default, Node: minikube-m03, Timestamp: 1718450504.9014866
2024-06-15 11:21:44.903 Event: Pod Created, Pod: activator-5587f7d97d-h2xzd, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1718450504.9032829
2024-06-15 11:21:44.905 Event: Pod Created, Pod: autoscaler-c6b7fb6b8-xfgjg, Namespace: knative-serving, Node: minikube-m03, Timestamp: 1718450504.9051914
2024-06-15 11:21:44.907 Event: Pod Created, Pod: controller-5d54b6456c-w5c8x, Namespace: knative-serving, Node: minikube-m03, Timestamp: 1718450504.9070466
2024-06-15 11:21:44.908 Event: Pod Created, Pod: webhook-5c75d6f46d-k7pc4, Namespace: knative-serving, Node: minikube-m04, Timestamp: 1718450504.9089577
2024-06-15 11:21:44.910 Event: Pod Created, Pod: coredns-7db6d8ff4d-j48lk, Namespace: kube-system, Node: minikube, Timestamp: 1718450504.9107463
2024-06-15 11:21:44.912 Event: Pod Created, Pod: etcd-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718450504.912019
