2024-06-15 10:36:05.635 Event: Pod Created, Pod: custom-scheduler-controller-controller-manager-59d8775bbb-78fqv, Namespace: custom-scheduler-controller-system, Node: minikube-m04, Timestamp: 1718447765.6352491
2024-06-15 10:36:05.638 Event: Pod Created, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m03, Timestamp: 1718447765.6388297
2024-06-15 10:36:05.640 Event: Pod Created, Pod: ext-kube-sched-c695464dd-rhgn4, Namespace: default, Node: minikube, Timestamp: 1718447765.640256
2024-06-15 10:36:05.641 Event: Pod Created, Pod: pod-event-logger-7f4956676d-j29cl, Namespace: default, Node: minikube-m03, Timestamp: 1718447765.6415672
2024-06-15 10:36:05.644 Event: Pod Created, Pod: prometheus-grafana-7576556869-rlhhh, Namespace: default, Node: minikube-m04, Timestamp: 1718447765.6448104
2024-06-15 10:36:05.646 Event: Pod Created, Pod: prometheus-kube-prometheus-operator-5c85b488c-t92bw, Namespace: default, Node: minikube-m02, Timestamp: 1718447765.6464484
2024-06-15 10:36:05.648 Event: Pod Created, Pod: prometheus-kube-state-metrics-7df5fc485d-rtknd, Namespace: default, Node: minikube-m02, Timestamp: 1718447765.6480207
2024-06-15 10:36:05.650 Event: Pod Created, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m02, Timestamp: 1718447765.6509
2024-06-15 10:36:05.652 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-dcsbr, Namespace: default, Node: minikube-m04, Timestamp: 1718447765.6525857
2024-06-15 10:36:05.654 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-dptp6, Namespace: default, Node: minikube, Timestamp: 1718447765.6542883
2024-06-15 10:36:05.656 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-jw24s, Namespace: default, Node: minikube-m02, Timestamp: 1718447765.6560135
2024-06-15 10:36:05.657 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-rdpws, Namespace: default, Node: minikube-m03, Timestamp: 1718447765.6577191
2024-06-15 10:36:05.659 Event: Pod Created, Pod: activator-5587f7d97d-gjkgp, Namespace: knative-serving, Node: minikube-m04, Timestamp: 1718447765.6597087
2024-06-15 10:36:05.661 Event: Pod Created, Pod: autoscaler-c6b7fb6b8-v56gt, Namespace: knative-serving, Node: minikube-m03, Timestamp: 1718447765.6616535
2024-06-15 10:36:05.663 Event: Pod Created, Pod: controller-5d54b6456c-t77qt, Namespace: knative-serving, Node: minikube-m03, Timestamp: 1718447765.6634967
2024-06-15 10:36:05.665 Event: Pod Created, Pod: webhook-5c75d6f46d-tvlbd, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1718447765.665385
2024-06-15 10:36:05.667 Event: Pod Created, Pod: coredns-7db6d8ff4d-r7x72, Namespace: kube-system, Node: minikube, Timestamp: 1718447765.6673303
2024-06-15 10:36:05.668 Event: Pod Created, Pod: etcd-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718447765.66873
2024-06-15 10:36:05.670 Event: Pod Created, Pod: kindnet-cgkvf, Namespace: kube-system, Node: minikube-m02, Timestamp: 1718447765.6705856
2024-06-15 10:36:05.672 Event: Pod Created, Pod: kindnet-g798z, Namespace: kube-system, Node: minikube-m04, Timestamp: 1718447765.6724634
2024-06-15 10:36:05.674 Event: Pod Created, Pod: kindnet-h5cn4, Namespace: kube-system, Node: minikube-m03, Timestamp: 1718447765.6743035
2024-06-15 10:36:05.676 Event: Pod Created, Pod: kindnet-mppf6, Namespace: kube-system, Node: minikube, Timestamp: 1718447765.6761541
2024-06-15 10:36:05.677 Event: Pod Created, Pod: kube-apiserver-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718447765.677864
2024-06-15 10:36:05.679 Event: Pod Created, Pod: kube-controller-manager-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718447765.679543
2024-06-15 10:36:05.681 Event: Pod Created, Pod: kube-proxy-hn4pg, Namespace: kube-system, Node: minikube, Timestamp: 1718447765.6813598
2024-06-15 10:36:05.683 Event: Pod Created, Pod: kube-proxy-nvbgs, Namespace: kube-system, Node: minikube-m02, Timestamp: 1718447765.683194
2024-06-15 10:36:05.685 Event: Pod Created, Pod: kube-proxy-szhx6, Namespace: kube-system, Node: minikube-m03, Timestamp: 1718447765.6850414
2024-06-15 10:36:05.686 Event: Pod Created, Pod: kube-proxy-xnb6c, Namespace: kube-system, Node: minikube-m04, Timestamp: 1718447765.686848
2024-06-15 10:36:05.688 Event: Pod Created, Pod: kube-scheduler-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718447765.688168
2024-06-15 10:36:05.689 Event: Pod Created, Pod: storage-provisioner, Namespace: kube-system, Node: minikube, Timestamp: 1718447765.6898956
2024-06-15 10:36:05.837 Event: Pod Scheduled, Pod: pod-event-logger-7f4956676d-j29cl, Namespace: default, Node: minikube-m03, Timestamp: 1718447765.8375766
2024-06-15 10:36:16.107 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m02, Timestamp: 1718447776.1079054
2024-06-15 10:36:16.812 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m02, Timestamp: 1718447776.8121178
2024-06-15 10:36:17.296 Event: Pod Scheduled, Pod: prometheus-grafana-7576556869-rlhhh, Namespace: default, Node: minikube-m04, Timestamp: 1718447777.2963467
2024-06-15 10:37:16.239 Event: Pod Created, Pod: hello-1-instances-00001-deployment-57fbd8bcb8-fc45s, Namespace: default, Node: None, Timestamp: 1718447836.2398183
2024-06-15 10:37:16.655 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57fbd8bcb8-fc45s, Namespace: default, Node: minikube-m02, Timestamp: 1718447836.6555314
2024-06-15 10:37:16.667 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57fbd8bcb8-fc45s, Namespace: default, Node: minikube-m02, Timestamp: 1718447836.6672635
2024-06-15 10:37:23.043 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57fbd8bcb8-fc45s, Namespace: default, Node: minikube-m02, Timestamp: 1718447843.0432765
2024-06-15 10:37:23.062 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57fbd8bcb8-fc45s, Namespace: default, Node: minikube-m02, Timestamp: 1718447843.062505
2024-06-15 10:37:26.903 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57fbd8bcb8-fc45s, Namespace: default, Node: minikube-m02, Timestamp: 1718447846.9036028
2024-06-15 10:37:30.963 Event: Pod Created, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: None, Timestamp: 1718447850.9634886
2024-06-15 10:37:30.974 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447850.9743671
2024-06-15 10:37:30.995 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447850.9950526
2024-06-15 10:37:32.076 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447852.0767295
2024-06-15 10:37:32.090 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447852.0901031
2024-06-15 10:37:40.594 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447860.59409
2024-06-15 10:37:46.972 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57fbd8bcb8-fc45s, Namespace: default, Node: minikube-m02, Timestamp: 1718447866.9727175
2024-06-15 10:37:57.116 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57fbd8bcb8-fc45s, Namespace: default, Node: minikube-m02, Timestamp: 1718447877.1162798
2024-06-15 10:37:57.182 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57fbd8bcb8-fc45s, Namespace: default, Node: minikube-m02, Timestamp: 1718447877.182045
2024-06-15 10:37:57.192 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57fbd8bcb8-fc45s, Namespace: default, Node: minikube-m02, Timestamp: 1718447877.19239
2024-06-15 10:38:01.303 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447881.3031945
2024-06-15 10:38:10.851 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447890.8518708
2024-06-15 10:38:11.233 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447891.2334
2024-06-15 10:38:11.243 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447891.2438703
2024-06-15 10:38:16.538 Event: Pod Created, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: None, Timestamp: 1718447896.5388374
2024-06-15 10:38:16.552 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447896.5521243
2024-06-15 10:38:16.581 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447896.5816302
2024-06-15 10:38:18.275 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447898.2756245
2024-06-15 10:38:18.278 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447898.2786503
2024-06-15 10:38:21.318 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447901.318796
2024-06-15 10:38:46.878 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447926.8786864
2024-06-15 10:38:51.567 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447931.5676672
2024-06-15 10:38:52.379 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447932.3793592
2024-06-15 10:38:52.389 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447932.3895798
2024-06-15 10:38:54.933 Event: Pod Created, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: None, Timestamp: 1718447934.9331594
2024-06-15 10:38:54.949 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447934.9497042
2024-06-15 10:38:54.978 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447934.9784567
2024-06-15 10:38:56.481 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447936.481873
2024-06-15 10:38:56.493 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447936.4932394
2024-06-15 10:39:00.000 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447940.0008602
2024-06-15 10:39:25.268 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447965.2684755
2024-06-15 10:39:30.174 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447970.1742167
2024-06-15 10:39:30.607 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447970.607157
2024-06-15 10:39:30.617 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447970.6178255
2024-06-15 10:39:36.099 Event: Pod Created, Pod: hello-1-instances-00001-deployment-6b6c84bc58-crxl7, Namespace: default, Node: None, Timestamp: 1718447976.0993228
