2024-06-15 17:51:53.141 Event: Pod Created, Pod: custom-scheduler-controller-controller-manager-59d8775bbb-zrxl7, Namespace: custom-scheduler-controller-system, Node: minikube-m02, Timestamp: 1718473913.141347
2024-06-15 17:51:53.144 Event: Pod Created, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m02, Timestamp: 1718473913.144896
2024-06-15 17:51:53.146 Event: Pod Created, Pod: pod-event-logger-7f4956676d-r66fq, Namespace: default, Node: minikube-m02, Timestamp: 1718473913.146262
2024-06-15 17:51:53.149 Event: Pod Created, Pod: prometheus-grafana-7576556869-hhj8j, Namespace: default, Node: minikube-m03, Timestamp: 1718473913.1494613
2024-06-15 17:51:53.151 Event: Pod Created, Pod: prometheus-kube-prometheus-operator-5c85b488c-f65r2, Namespace: default, Node: minikube-m03, Timestamp: 1718473913.1513798
2024-06-15 17:51:53.152 Event: Pod Created, Pod: prometheus-kube-state-metrics-7df5fc485d-t5nbr, Namespace: default, Node: minikube-m04, Timestamp: 1718473913.1529498
2024-06-15 17:51:53.156 Event: Pod Created, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m04, Timestamp: 1718473913.1560438
2024-06-15 17:51:53.157 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-b94s8, Namespace: default, Node: minikube-m02, Timestamp: 1718473913.1579287
2024-06-15 17:51:53.159 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-k589t, Namespace: default, Node: minikube, Timestamp: 1718473913.1596563
2024-06-15 17:51:53.161 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-mcs9b, Namespace: default, Node: minikube-m04, Timestamp: 1718473913.161383
2024-06-15 17:51:53.163 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-x2tcc, Namespace: default, Node: minikube-m03, Timestamp: 1718473913.1631129
2024-06-15 17:51:53.164 Event: Pod Created, Pod: rr-scheduler-fc755c444-55t94, Namespace: default, Node: minikube, Timestamp: 1718473913.1644557
2024-06-15 17:51:53.166 Event: Pod Created, Pod: activator-5587f7d97d-qj8zm, Namespace: knative-serving, Node: minikube-m04, Timestamp: 1718473913.1665232
2024-06-15 17:51:53.168 Event: Pod Created, Pod: autoscaler-c6b7fb6b8-tx24l, Namespace: knative-serving, Node: minikube-m03, Timestamp: 1718473913.168475
2024-06-15 17:51:53.170 Event: Pod Created, Pod: controller-5d54b6456c-pnfnb, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1718473913.1704237
2024-06-15 17:51:53.172 Event: Pod Created, Pod: webhook-5c75d6f46d-m9dht, Namespace: knative-serving, Node: minikube-m04, Timestamp: 1718473913.1724331
2024-06-15 17:51:53.174 Event: Pod Created, Pod: coredns-7db6d8ff4d-mk52h, Namespace: kube-system, Node: minikube, Timestamp: 1718473913.1744335
2024-06-15 17:51:53.175 Event: Pod Created, Pod: etcd-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718473913.1758358
2024-06-15 17:51:53.177 Event: Pod Created, Pod: kindnet-9lnjw, Namespace: kube-system, Node: minikube-m04, Timestamp: 1718473913.1778076
