2024-06-15 16:45:15.114 Event: Pod Created, Pod: custom-scheduler-controller-controller-manager-59d8775bbb-glzrh, Namespace: custom-scheduler-controller-system, Node: minikube-m02, Timestamp: 1718469915.114535
2024-06-15 16:45:15.118 Event: Pod Created, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m04, Timestamp: 1718469915.1180649
2024-06-15 16:45:15.119 Event: Pod Created, Pod: pod-event-logger-7f4956676d-bq4d5, Namespace: default, Node: minikube-m04, Timestamp: 1718469915.119451
2024-06-15 16:45:15.124 Event: Pod Created, Pod: prometheus-grafana-7576556869-rzmqp, Namespace: default, Node: minikube-m03, Timestamp: 1718469915.124389
2024-06-15 16:45:15.126 Event: Pod Created, Pod: prometheus-kube-prometheus-operator-5c85b488c-9s8vc, Namespace: default, Node: minikube-m04, Timestamp: 1718469915.1266675
2024-06-15 16:45:15.128 Event: Pod Created, Pod: prometheus-kube-state-metrics-7df5fc485d-nh6mm, Namespace: default, Node: minikube-m02, Timestamp: 1718469915.1282933
2024-06-15 16:45:15.131 Event: Pod Created, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m02, Timestamp: 1718469915.1311314
2024-06-15 16:45:15.132 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-96hmg, Namespace: default, Node: minikube-m03, Timestamp: 1718469915.132898
2024-06-15 16:45:15.134 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-kgdh6, Namespace: default, Node: minikube-m04, Timestamp: 1718469915.134571
2024-06-15 16:45:15.136 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-kjjqj, Namespace: default, Node: minikube, Timestamp: 1718469915.1362453
2024-06-15 16:45:15.137 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-wvsjf, Namespace: default, Node: minikube-m02, Timestamp: 1718469915.137928
2024-06-15 16:45:15.139 Event: Pod Created, Pod: rr-scheduler-fc755c444-tqn96, Namespace: default, Node: minikube, Timestamp: 1718469915.1392298
2024-06-15 16:45:15.140 Event: Pod Created, Pod: rr-sleep-scheduler-fb7b498d6-c2xc2, Namespace: default, Node: minikube, Timestamp: 1718469915.1405175
2024-06-15 16:45:15.142 Event: Pod Created, Pod: activator-5587f7d97d-cjkgw, Namespace: knative-serving, Node: minikube-m04, Timestamp: 1718469915.1424425
2024-06-15 16:45:15.144 Event: Pod Created, Pod: autoscaler-c6b7fb6b8-2tfvp, Namespace: knative-serving, Node: minikube-m03, Timestamp: 1718469915.144359
2024-06-15 16:45:15.146 Event: Pod Created, Pod: controller-5d54b6456c-pkhws, Namespace: knative-serving, Node: minikube-m03, Timestamp: 1718469915.1462052
2024-06-15 16:45:15.148 Event: Pod Created, Pod: webhook-5c75d6f46d-sp9gf, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1718469915.1480477
2024-06-15 16:45:15.149 Event: Pod Created, Pod: coredns-7db6d8ff4d-8mwks, Namespace: kube-system, Node: minikube, Timestamp: 1718469915.1499174
2024-06-15 16:45:15.151 Event: Pod Created, Pod: etcd-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718469915.1512325
2024-06-15 16:45:15.153 Event: Pod Created, Pod: kindnet-997q4, Namespace: kube-system, Node: minikube-m02, Timestamp: 1718469915.1530373
2024-06-15 16:45:15.154 Event: Pod Created, Pod: kindnet-fgj4g, Namespace: kube-system, Node: minikube-m04, Timestamp: 1718469915.1549087
2024-06-15 16:45:15.156 Event: Pod Created, Pod: kindnet-n4dxf, Namespace: kube-system, Node: minikube-m03, Timestamp: 1718469915.1567285
2024-06-15 16:45:15.158 Event: Pod Created, Pod: kindnet-s8mh7, Namespace: kube-system, Node: minikube, Timestamp: 1718469915.1587076
2024-06-15 16:45:15.160 Event: Pod Created, Pod: kube-apiserver-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718469915.1602688
2024-06-15 16:45:15.161 Event: Pod Created, Pod: kube-controller-manager-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718469915.1618795
2024-06-15 16:45:15.163 Event: Pod Created, Pod: kube-proxy-lh9vb, Namespace: kube-system, Node: minikube-m04, Timestamp: 1718469915.1635878
2024-06-15 16:45:15.165 Event: Pod Created, Pod: kube-proxy-mp22n, Namespace: kube-system, Node: minikube-m03, Timestamp: 1718469915.1653714
2024-06-15 16:45:15.167 Event: Pod Created, Pod: kube-proxy-nqqtn, Namespace: kube-system, Node: minikube, Timestamp: 1718469915.1670873
2024-06-15 16:45:15.168 Event: Pod Created, Pod: kube-proxy-v2d2v, Namespace: kube-system, Node: minikube-m02, Timestamp: 1718469915.168752
2024-06-15 16:45:15.169 Event: Pod Created, Pod: kube-scheduler-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718469915.169984
2024-06-15 16:45:15.171 Event: Pod Created, Pod: storage-provisioner, Namespace: kube-system, Node: minikube, Timestamp: 1718469915.1713147
2024-06-15 16:45:15.336 Event: Pod Scheduled, Pod: pod-event-logger-7f4956676d-bq4d5, Namespace: default, Node: minikube-m04, Timestamp: 1718469915.3363929
2024-06-15 16:48:02.299 Event: Pod Created, Pod: hello-1-instances-00001-deployment-5f9dbb8656-s884n, Namespace: default, Node: None, Timestamp: 1718470082.2998054
2024-06-15 16:48:03.725 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f9dbb8656-s884n, Namespace: default, Node: minikube-m02, Timestamp: 1718470083.7254672
2024-06-15 16:48:03.741 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f9dbb8656-s884n, Namespace: default, Node: minikube-m02, Timestamp: 1718470083.741894
2024-06-15 16:48:11.045 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f9dbb8656-s884n, Namespace: default, Node: minikube-m02, Timestamp: 1718470091.044986
2024-06-15 16:48:11.057 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f9dbb8656-s884n, Namespace: default, Node: minikube-m02, Timestamp: 1718470091.0577638
2024-06-15 16:48:17.812 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f9dbb8656-s884n, Namespace: default, Node: minikube-m02, Timestamp: 1718470097.8125505
2024-06-15 16:48:44.041 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f9dbb8656-s884n, Namespace: default, Node: minikube-m02, Timestamp: 1718470124.0417554
2024-06-15 16:48:48.026 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f9dbb8656-s884n, Namespace: default, Node: minikube-m02, Timestamp: 1718470128.0267425
2024-06-15 16:48:48.187 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f9dbb8656-s884n, Namespace: default, Node: minikube-m02, Timestamp: 1718470128.1874192
2024-06-15 16:48:48.195 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f9dbb8656-s884n, Namespace: default, Node: minikube-m02, Timestamp: 1718470128.1958728
2024-06-15 16:48:57.393 Event: Pod Created, Pod: hello-1-instances-00001-deployment-5888f8657d-9xhmz, Namespace: default, Node: None, Timestamp: 1718470137.3936331
2024-06-15 16:48:58.414 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5888f8657d-9xhmz, Namespace: default, Node: minikube-m03, Timestamp: 1718470138.4142776
2024-06-15 16:48:58.426 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5888f8657d-9xhmz, Namespace: default, Node: minikube-m03, Timestamp: 1718470138.4264863
2024-06-15 16:49:22.560 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5888f8657d-9xhmz, Namespace: default, Node: minikube-m03, Timestamp: 1718470162.5603344
2024-06-15 16:49:23.571 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5888f8657d-9xhmz, Namespace: default, Node: minikube-m03, Timestamp: 1718470163.571593
2024-06-15 16:49:39.358 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5888f8657d-9xhmz, Namespace: default, Node: minikube-m03, Timestamp: 1718470179.3580468
2024-06-15 16:49:39.618 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5888f8657d-9xhmz, Namespace: default, Node: minikube-m03, Timestamp: 1718470179.6182587
2024-06-15 16:49:43.400 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5888f8657d-9xhmz, Namespace: default, Node: minikube-m03, Timestamp: 1718470183.4001858
2024-06-15 16:50:08.728 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5888f8657d-9xhmz, Namespace: default, Node: minikube-m03, Timestamp: 1718470208.7286835
2024-06-15 16:50:13.631 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5888f8657d-9xhmz, Namespace: default, Node: minikube-m03, Timestamp: 1718470213.6314275
2024-06-15 16:50:13.735 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5888f8657d-9xhmz, Namespace: default, Node: minikube-m03, Timestamp: 1718470213.7358506
2024-06-15 16:50:14.044 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5888f8657d-9xhmz, Namespace: default, Node: minikube-m03, Timestamp: 1718470214.0444238
2024-06-15 16:50:17.986 Event: Pod Created, Pod: hello-1-instances-00001-deployment-f7d48cc68-nxdmg, Namespace: default, Node: None, Timestamp: 1718470217.9862494
2024-06-15 16:50:19.005 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f7d48cc68-nxdmg, Namespace: default, Node: minikube-m04, Timestamp: 1718470219.0057526
2024-06-15 16:50:19.016 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f7d48cc68-nxdmg, Namespace: default, Node: minikube-m04, Timestamp: 1718470219.0167968
2024-06-15 16:50:26.571 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f7d48cc68-nxdmg, Namespace: default, Node: minikube-m04, Timestamp: 1718470226.5714831
