2024-06-15 18:18:30.325 Event: Pod Created, Pod: custom-scheduler-controller-controller-manager-59d8775bbb-nwzq8, Namespace: custom-scheduler-controller-system, Node: minikube-m03, Timestamp: 1718475510.3253164
2024-06-15 18:18:30.328 Event: Pod Created, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m04, Timestamp: 1718475510.3286967
2024-06-15 18:18:30.330 Event: Pod Created, Pod: pod-event-logger-7f4956676d-j86sq, Namespace: default, Node: minikube-m03, Timestamp: 1718475510.330186
2024-06-15 18:18:30.333 Event: Pod Created, Pod: prometheus-grafana-7576556869-xbpxf, Namespace: default, Node: minikube-m02, Timestamp: 1718475510.3333263
2024-06-15 18:18:30.335 Event: Pod Created, Pod: prometheus-kube-prometheus-operator-5c85b488c-gx2th, Namespace: default, Node: minikube-m04, Timestamp: 1718475510.335039
2024-06-15 18:18:30.336 Event: Pod Created, Pod: prometheus-kube-state-metrics-7df5fc485d-76962, Namespace: default, Node: minikube-m02, Timestamp: 1718475510.3365736
2024-06-15 18:18:30.339 Event: Pod Created, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m03, Timestamp: 1718475510.3393714
2024-06-15 18:18:30.341 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-4d844, Namespace: default, Node: minikube-m04, Timestamp: 1718475510.3412724
2024-06-15 18:18:30.343 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-ppmg8, Namespace: default, Node: minikube, Timestamp: 1718475510.3430536
2024-06-15 18:18:30.344 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-rp8qr, Namespace: default, Node: minikube-m02, Timestamp: 1718475510.3447986
2024-06-15 18:18:30.346 Event: Pod Created, Pod: prometheus-prometheus-node-exporter-vp2zm, Namespace: default, Node: minikube-m03, Timestamp: 1718475510.3465486
2024-06-15 18:18:30.347 Event: Pod Created, Pod: rr-sleep-scheduler-fb7b498d6-qwc2s, Namespace: default, Node: minikube, Timestamp: 1718475510.347873
2024-06-15 18:18:30.349 Event: Pod Created, Pod: activator-5587f7d97d-g28jh, Namespace: knative-serving, Node: minikube-m03, Timestamp: 1718475510.349772
2024-06-15 18:18:30.351 Event: Pod Created, Pod: autoscaler-c6b7fb6b8-295c4, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1718475510.3517468
2024-06-15 18:18:30.353 Event: Pod Created, Pod: controller-5d54b6456c-pvnqw, Namespace: knative-serving, Node: minikube-m02, Timestamp: 1718475510.3536444
2024-06-15 18:18:30.355 Event: Pod Created, Pod: webhook-5c75d6f46d-2nh5m, Namespace: knative-serving, Node: minikube-m04, Timestamp: 1718475510.3556583
2024-06-15 18:18:30.357 Event: Pod Created, Pod: coredns-7db6d8ff4d-w7rbq, Namespace: kube-system, Node: minikube, Timestamp: 1718475510.3576689
2024-06-15 18:18:30.359 Event: Pod Created, Pod: etcd-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718475510.3592203
2024-06-15 18:18:30.361 Event: Pod Created, Pod: kindnet-8nvv4, Namespace: kube-system, Node: minikube-m04, Timestamp: 1718475510.3613102
2024-06-15 18:18:30.363 Event: Pod Created, Pod: kindnet-mj8vl, Namespace: kube-system, Node: minikube-m03, Timestamp: 1718475510.3632815
2024-06-15 18:18:30.365 Event: Pod Created, Pod: kindnet-vc6c9, Namespace: kube-system, Node: minikube-m02, Timestamp: 1718475510.365257
2024-06-15 18:18:30.367 Event: Pod Created, Pod: kindnet-vksx8, Namespace: kube-system, Node: minikube, Timestamp: 1718475510.3672183
2024-06-15 18:18:30.369 Event: Pod Created, Pod: kube-apiserver-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718475510.36899
2024-06-15 18:18:30.370 Event: Pod Created, Pod: kube-controller-manager-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718475510.3708541
2024-06-15 18:18:30.372 Event: Pod Created, Pod: kube-proxy-7rcl2, Namespace: kube-system, Node: minikube-m04, Timestamp: 1718475510.3727067
2024-06-15 18:18:30.374 Event: Pod Created, Pod: kube-proxy-jnxcc, Namespace: kube-system, Node: minikube-m02, Timestamp: 1718475510.3746402
2024-06-15 18:18:30.376 Event: Pod Created, Pod: kube-proxy-ncc8t, Namespace: kube-system, Node: minikube-m03, Timestamp: 1718475510.3764944
2024-06-15 18:18:30.378 Event: Pod Created, Pod: kube-proxy-xngrt, Namespace: kube-system, Node: minikube, Timestamp: 1718475510.3784695
2024-06-15 18:18:30.379 Event: Pod Created, Pod: kube-scheduler-minikube, Namespace: kube-system, Node: minikube, Timestamp: 1718475510.379804
2024-06-15 18:18:30.381 Event: Pod Created, Pod: storage-provisioner, Namespace: kube-system, Node: minikube, Timestamp: 1718475510.3813858
2024-06-15 18:18:30.635 Event: Pod Scheduled, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m04, Timestamp: 1718475510.6353123
2024-06-15 18:18:33.334 Event: Pod Scheduled, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m04, Timestamp: 1718475513.334681
2024-06-15 18:18:40.284 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m03, Timestamp: 1718475520.2840855
2024-06-15 18:18:45.108 Event: Pod Scheduled, Pod: prometheus-grafana-7576556869-xbpxf, Namespace: default, Node: minikube-m02, Timestamp: 1718475525.1089437
2024-06-15 18:18:48.446 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m03, Timestamp: 1718475528.4464018
